Title,Location,Land Area,No of Beds,No. of Baths,Price
Best Ever Designed House At Reasonable Price For Sale DHA 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.2 Crore
Eye Catching Brand New House For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.5 Crore
Luxurious 6 Bed Designer House Avaliable,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,11.25 Crore
1 Kanal Brand New Luxurious 5 Bed House For Sale At Best Locality Of Dha Phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",1 Kanal,5,6,11.95 Crore
Brand New One Kanal House For Sale At Prime Location,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,9 Crore
(40*80) Corner House for Sale in G-13 Islamabad Near to markaz and Main Double Road,"G-13, Islamabad",14.2 Marla,7,6,7.8 Crore
1 Kanal Brand New House Available For Sale In Dha Phase 2 Islamabad,"DHA Phase 2 - Sector A, DHA Defence Phase 2",1 Kanal,6,6,12 Crore
1 Kanal House Double Storey For Sale DHA 2 Sector D,"DHA Phase 2 - Sector D, DHA Defence Phase 2",1 Kanal,5,6,7.6 Crore
400 Sq Yard House Available For Sale,"E-11, Islamabad",16 Marla,5,6,6.5 Crore
10 Marla Double Story House,"National Police Foundation O-9, Islamabad",10 Marla,5,6,2.9 Crore
Brand New 6 Bed House At Top Height Of DHA,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,8.75 Crore
DHA 2 1 kanal House main blvd corner with basement 7 bedrooms 9 bathrooms,"DHA Defence Phase 2, DHA Defence",1 Kanal,7,,9.4 Crore
10 Marla Brand new design House available for Sale in dha phase 2 Islamabad,"DHA Phase 2 - Sector E, DHA Defence Phase 2",10 Marla,5,5,6.5 Crore
2 kanal Designer house for sale in Bahria town Islamabad phase 5,"Bahria Town, Islamabad",2 Kanal,5,6,18 Crore
"Bahria Enclave islamabad 
5 Marla Brand new house Available on Investor Rate Sector#N
Contact#03361414272","Bahria Enclave - Sector N, Bahria Enclave",5 Marla,3,5,2.25 Crore
5 Marla House For Sale On Installments,"MPCHS - Block F, MPCHS - Multi Gardens",5 Marla,5,6,2.25 Crore
9 Marla Double Storey House For Sale,"Soan Garden, Islamabad",9 Marla,6,6,3.4 Crore
30x60 Brand New House Available for Sale in G13,"G-13, Islamabad",8 Marla,5,6,5.25 Crore
Eye Catching Luxurious Brand New House For Sale At dha 2,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,10.8 Crore
10 Marla Beautiful Luxury House With Basement For Sale At DHA Phase 2,"DHA Defence Phase 2, DHA Defence",10 Marla,5,5,6.5 Crore
Well Maintained Beautiful Corner House Near McDonalds For Sale,"DHA Defence Phase 2, DHA Defence",1 Kanal,6,6,7.9 Crore
Triple Unit House With Beautiful Huge Lawn For Sale At DHA 2,"DHA Defence Phase 2, DHA Defence",1.5 Kanal,8,6,15 Crore
Triple Unit Corner House on Main Boulevard,"DHA Defence Phase 2, DHA Defence",1 Kanal,8,6,9.4 Crore
D12-3 Beautiful 10 Marla House For sale,"D-12/3, D-12",10 Marla,5,5,9.4 Crore
E11 Brand New Triple Story 16 Marla House For Sale,"E-11, Islamabad",16 Marla,9,6,9.5 Crore
Brand New 6 Bed Designer House Near MacDonald,"DHA Phase 2 - Sector G, DHA Defence Phase 2",1 Kanal,6,6,11.75 Crore
